time:20120131, dvT0:0.98
time:20130131, dvT0:0.98
time:20140130, dvT0:1.47
time:20150130, dvT0:1.30
time:20160129, dvT0:0.65
SZ000033: avgDV:1.08
time:20120131, dvT0:1.06
time:20130131, dvT0:1.11
time:20140130, dvT0:1.05
SZ000034: avgDV:1.08
time:20120131, dvT0:1.32
time:20130131, dvT0:1.01
time:20140130, dvT0:0.98
time:20150130, dvT0:0.99
SZ002518: avgDV:1.07
time:20120131, dvT0:0.92
time:20130131, dvT0:1.07
time:20140130, dvT0:1.58
time:20150130, dvT0:1.05
time:20160129, dvT0:0.76
SZ002349: avgDV:1.07
time:20120131, dvT0:0.75
time:20130131, dvT0:1.05
time:20140123, dvT0:1.09
time:20150130, dvT0:1.41
SZ300212: avgDV:1.07
time:20120131, dvT0:0.97
time:20130131, dvT0:1.26
time:20140130, dvT0:1.40
time:20150130, dvT0:1.12
time:20160129, dvT0:0.63
SH600297: avgDV:1.07
time:20120131, dvT0:1.01
time:20130131, dvT0:1.10
time:20140130, dvT0:1.01
time:20150130, dvT0:1.23
time:20160129, dvT0:1.02
SZ000760: avgDV:1.07
time:20120131, dvT0:1.03
time:20130131, dvT0:1.47
time:20140130, dvT0:1.06
time:20150130, dvT0:1.13
time:20160129, dvT0:0.68
SZ300100: avgDV:1.07
time:20120131, dvT0:1.05
time:20130131, dvT0:1.00
time:20140130, dvT0:1.07
time:20150130, dvT0:1.39
time:20160129, dvT0:0.85
SH600771: avgDV:1.07
time:20120131, dvT0:1.19
time:20130131, dvT0:1.10
time:20140130, dvT0:0.93
time:20150130, dvT0:1.07
SZ000007: avgDV:1.07
time:20120131, dvT0:1.07
time:20130131, dvT0:1.26
time:20140130, dvT0:0.97
time:20150130, dvT0:0.99
SZ000567: avgDV:1.07
time:20120131, dvT0:1.01
time:20130131, dvT0:1.17
time:20140130, dvT0:1.07
time:20150130, dvT0:1.11
time:20160129, dvT0:1.00
SZ000681: avgDV:1.07
time:20140130, dvT0:1.41
time:20150130, dvT0:1.18
time:20160128, dvT0:0.62
SH600794: avgDV:1.07
time:20120131, dvT0:1.08
time:20130131, dvT0:1.58
time:20140130, dvT0:0.98
time:20150130, dvT0:1.00
time:20160129, dvT0:0.71
SH600740: avgDV:1.07
time:20120131, dvT0:1.19
time:20130131, dvT0:1.08
time:20140130, dvT0:1.04
time:20150130, dvT0:0.97
SH600060: avgDV:1.07
time:20120131, dvT0:1.22
time:20130131, dvT0:1.19
time:20140130, dvT0:0.97
time:20150130, dvT0:1.26
time:20160129, dvT0:0.71
SZ300143: avgDV:1.07
time:20120131, dvT0:1.06
time:20130131, dvT0:1.55
time:20150130, dvT0:0.84
time:20160129, dvT0:0.84
SH600876: avgDV:1.07
time:20120131, dvT0:0.95
time:20130131, dvT0:1.00
time:20140130, dvT0:0.97
time:20150130, dvT0:1.46
time:20160129, dvT0:0.97
SZ002178: avgDV:1.07
time:20120131, dvT0:0.90
time:20130131, dvT0:1.07
time:20140130, dvT0:1.41
time:20150130, dvT0:1.32
time:20160129, dvT0:0.66
SZ002364: avgDV:1.07
time:20120131, dvT0:1.02
time:20130131, dvT0:1.18
time:20140130, dvT0:1.21
time:20150130, dvT0:1.30
time:20160129, dvT0:0.64
SZ300183: avgDV:1.07
time:20120131, dvT0:0.76
time:20130131, dvT0:1.34
time:20140130, dvT0:1.58
time:20150130, dvT0:0.99
time:20160129, dvT0:0.68
SH600759: avgDV:1.07
time:20120131, dvT0:0.91
time:20130131, dvT0:0.95
time:20140130, dvT0:1.34
SZ002190: avgDV:1.07
time:20120131, dvT0:1.03
time:20130131, dvT0:1.43
