---summary report(20100101-21680808)---
No.(0)- Conditon:  DESTDVVALUE(3.00), duration(3)  Result:totalAvgVal(0.34),totalCount(155), SelCount(155), selAvg(0.34) 


---detail report(20100101-21680808)---
No.(0)- Conditon:  DESTDVVALUE(3.00), duration(3)  Result:avgVal(0.34),totalCount(155), SelCount(155), selAvg(0.34) 
index(0), percent(27.10)  count(42) 
SH600108 TBuyData:20150911, pvHi2Op(0.000), TSellData:20150916, dvSelltoBuy:-5.56
SH600108 TBuyData:20151020, pvHi2Op(0.000), TSellData:20151023, dvSelltoBuy:-5.93
SH600108 TBuyData:20151028, pvHi2Op(0.000), TSellData:20151102, dvSelltoBuy:-4.05
SH600108 TBuyData:20151111, pvHi2Op(0.000), TSellData:20151116, dvSelltoBuy:-2.90
SH600108 TBuyData:20151208, pvHi2Op(0.000), TSellData:20151211, dvSelltoBuy:-3.36
SH600108 TBuyData:20160118, pvHi2Op(0.000), TSellData:20160121, dvSelltoBuy:-2.26
SH600108 TBuyData:20160415, pvHi2Op(0.000), TSellData:20160420, dvSelltoBuy:-4.94
SH600108 TBuyData:20160505, pvHi2Op(0.000), TSellData:20160510, dvSelltoBuy:-7.30
SH600108 TBuyData:20160725, pvHi2Op(0.000), TSellData:20160728, dvSelltoBuy:-3.43
index(3), percent(1.29)  count(2) 
SH600108 TBuyData:20150702, pvHi2Op(0.000), TSellData:20150707, dvSelltoBuy:-27.00
SH600108 TBuyData:20150821, pvHi2Op(0.000), TSellData:20150826, dvSelltoBuy:-26.81
