time:20150130, dvT0:1.28
time:20160129, dvT0:0.84
SH601311: avgDV:1.05, LastDV:1.95
time:20120131, dvT0:1.16
time:20130131, dvT0:1.30
time:20140130, dvT0:1.05
time:20150130, dvT0:1.10
time:20160129, dvT0:0.63
SH600523: avgDV:1.05, LastDV:1.61
time:20120131, dvT0:1.10
time:20130131, dvT0:1.42
time:20140130, dvT0:0.98
time:20150130, dvT0:1.09
time:20160129, dvT0:0.65
SZ002024: avgDV:1.05, LastDV:1.28
time:20120131, dvT0:1.03
time:20130131, dvT0:1.07
time:20140130, dvT0:1.15
time:20150130, dvT0:1.19
time:20160129, dvT0:0.79
SZ002246: avgDV:1.05, LastDV:1.94
time:20120131, dvT0:1.04
time:20130131, dvT0:1.10
time:20140130, dvT0:1.01
time:20150130, dvT0:1.04
SZ000068: avgDV:1.05, LastDV:2.54
time:20130131, dvT0:1.21
time:20140130, dvT0:1.13
time:20150126, dvT0:1.15
time:20160129, dvT0:0.69
SH600640: avgDV:1.05, LastDV:2.63
time:20120131, dvT0:1.02
time:20130131, dvT0:1.05
time:20140130, dvT0:1.29
time:20150130, dvT0:1.09
time:20160129, dvT0:0.78
SZ002483: avgDV:1.04, LastDV:1.11
time:20120131, dvT0:0.96
time:20130131, dvT0:1.01
time:20140130, dvT0:1.05
time:20150130, dvT0:1.15
SH600784: avgDV:1.04, LastDV:1.41
time:20120131, dvT0:1.06
time:20130131, dvT0:1.23
time:20140130, dvT0:0.91
time:20150130, dvT0:1.26
time:20160129, dvT0:0.76
SZ002461: avgDV:1.04, LastDV:0.90
time:20120131, dvT0:1.03
time:20130131, dvT0:1.04
time:20140130, dvT0:1.28
time:20150130, dvT0:1.05
time:20160129, dvT0:0.82
SZ002066: avgDV:1.04, LastDV:2.48
time:20120131, dvT0:1.00
time:20130131, dvT0:1.11
time:20140130, dvT0:1.01
time:20150130, dvT0:1.32
time:20160129, dvT0:0.78
SZ002213: avgDV:1.04, LastDV:2.72
time:20120131, dvT0:1.08
time:20130131, dvT0:1.04
time:20140130, dvT0:1.22
time:20150130, dvT0:1.14
time:20160129, dvT0:0.74
SH600749: avgDV:1.04, LastDV:1.75
time:20120131, dvT0:1.05
time:20130131, dvT0:1.04
time:20140130, dvT0:1.04
SZ300306: avgDV:1.04, LastDV:2.77
time:20130131, dvT0:0.98
time:20140130, dvT0:1.02
