---summary report(20160125-20200101)---
SZ002330 TBuyData:20160516(3), pvHi2Op(1.056), TSellData:20160519(3), dvSelltoBuy:-2.19
SZ002570 TBuyData:20160715(3), pvHi2Op(1.019), TSellData:20160720(3), dvSelltoBuy:-2.00
SZ002760 TBuyData:20160810(3), pvHi2Op(1.036), TSellData:20160815(3), dvSelltoBuy:-2.05
SZ300223 TBuyData:20160506(3), pvHi2Op(1.009), TSellData:20160511(3), dvSelltoBuy:-2.62
index(3), percent(6.06)  count(4) 
SH600136 TBuyData:20160513(1), pvHi2Op(0.000), TSellData:20160518(3), dvSelltoBuy:-12.94
SH600696 TBuyData:20160523(3), pvHi2Op(1.064), TSellData:20160526(3), dvSelltoBuy:-11.41
SZ300365 TBuyData:20160224(2), pvHi2Op(1.023), TSellData:20160229(3), dvSelltoBuy:-20.43
SZ300390 TBuyData:20160510(3), pvHi2Op(1.019), TSellData:20160513(3), dvSelltoBuy:-11.44
No.(3)- Conditon: LastLimit(15), BUYPERCENT(0.99), DESTDVVALUE(6.00), duration(3)  Result:avgVal(0.66),totalCount(257), SelCount(58), selAvg(-0.09) 
index(0), percent(36.21)  count(21) 
SH600075 TBuyData:20160801(2), pvHi2Op(1.000), TSellData:20160803(2), dvSelltoBuy:6.00
SH600095 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160302(2), dvSelltoBuy:6.00
SH600207 TBuyData:20160215(3), pvHi2Op(1.060), TSellData:20160216(1), dvSelltoBuy:6.00
SH600217 TBuyData:20160316(3), pvHi2Op(1.020), TSellData:20160321(3), dvSelltoBuy:6.00
SH600262 TBuyData:20160519(4), pvHi2Op(1.035), TSellData:20160523(2), dvSelltoBuy:6.00
SH600272 TBuyData:20160311(4), pvHi2Op(1.043), TSellData:20160314(1), dvSelltoBuy:6.00
SH600353 TBuyData:20160401(2), pvHi2Op(1.004), TSellData:20160406(2), dvSelltoBuy:6.00
SH600671 TBuyData:20160512(1), pvHi2Op(0.000), TSellData:20160513(1), dvSelltoBuy:6.00
SH600675 TBuyData:20160301(4), pvHi2Op(1.037), TSellData:20160302(1), dvSelltoBuy:6.00
SH600975 TBuyData:20160624(3), pvHi2Op(1.013), TSellData:20160627(1), dvSelltoBuy:6.00
SH601599 TBuyData:20160707(4), pvHi2Op(1.084), TSellData:20160708(1), dvSelltoBuy:6.00
SH603003 TBuyData:20160425(2), pvHi2Op(1.000), TSellData:20160427(2), dvSelltoBuy:6.00
SZ000008 TBuyData:20160302(1), pvHi2Op(0.000), TSellData:20160303(1), dvSelltoBuy:6.00
SZ000426 TBuyData:20160809(4), pvHi2Op(1.014), TSellData:20160810(1), dvSelltoBuy:6.00
SZ000592 TBuyData:20160802(2), pvHi2Op(1.033), TSellData:20160803(1), dvSelltoBuy:6.00
SZ000672 TBuyData:20160526(3), pvHi2Op(1.002), TSellData:20160527(1), dvSelltoBuy:6.00
SZ000925 TBuyData:20160614(3), pvHi2Op(1.024), TSellData:20160615(1), dvSelltoBuy:6.00
SZ002395 TBuyData:20160307(3), pvHi2Op(1.038), TSellData:20160308(1), dvSelltoBuy:6.00
SZ300089 TBuyData:20160315(1), pvHi2Op(0.000), TSellData:20160317(2), dvSelltoBuy:6.00
SZ300420 TBuyData:20160712(2), pvHi2Op(1.013), TSellData:20160713(1), dvSelltoBuy:6.00
SZ300509 TBuyData:20160808(3), pvHi2Op(1.040), TSellData:20160809(1), dvSelltoBuy:6.00
index(1), percent(31.03)  count(18) 
